Let's Set Up Your Accounts and Taxes.,让我们来设置您的账户和税务,
"Accounts, Invoices, Taxation, and more.",账户、发票、税收等等,
Review Chart of Accounts,审查账户表,
Cost Centers for Budgeting and Analysis,成本中心用于预算和分析,
Create Your First Purchase Invoice,创建您的第一张采购发票,
Updating Opening Balances,更新期初余额,
Chart Of Accounts,账户表,
"ERPNext sets up a simple chart of accounts for each Company you create, but you can modify it according to business and legal requirements.",XERP为您创建的每个公司都设置了一个简单的账户表，但您可以根据业务和法律要求进行修改,
Watch Tutorial,观看教程,
Manage Sales Tax Templates,管理销售税模板,
Take a quick walk-through of Accounts Settings,快速浏览一下账户设置,
View Cost Center Tree,查看成本中心层级结构,
Let’s create your first Purchase Invoice,让我们创建您的第一张采购发票,
Move Up,上移,
Move Down,下移,
Edit Onboarding,编辑流程,
Onboarding Name,流程名称,
Quick Lists,快速访问列表,
Custom Blocks,自定义区块,
Is Hidden,是否被隐藏,
Number Card Name,数字卡片的名称,
Custom Block Name,自定义块的名称,
Go to Workspace,进入工作区,
Shrink,收缩,
Edit Number Card,编辑数字卡片,
Spacer,空白区域,
Edit Links,编辑链接,
Card Links,卡片链接,
Link Type,链接类型,
Only for,仅供,
Onboard,引导,
Is Query Report,查询报告,
Cost Center Allocation,成本中心分配,
Bank Reconciliation Tool,银行对账工具,
Share Ledger,共享账簿,
Default Payment Discount Account,默认支付折扣账户,
Unrealized Profit / Loss Account,未实现利润/损失账户,
Book Advance Payments in Separate Party Account,将预付款记入单独的方账户,
"Enabling this option will allow you to record - ",启用此选项将允许您记录 -,
Exchange Rate Revaluation Settings,汇率重新估值设置,
Auto Create Exchange Rate Revaluation,自动创建汇率重新估值,
Submit ERR Journals?,提交 ERR（错误）日记账？,
Fixed Asset Defaults,固定资产默认设置,
Buying and Selling,购买和销售,
Buying & Selling Settings,购买和销售设置,
HR & Payroll Settings,人力资源与工资设置,
Enable Provisional Accounting For Non Stock Items,启用非库存项目的暂定会计,
Default Provisional Account,默认暂定账户,
Default In-Transit Warehouse,默认在途仓库,
Graph,图表,
Manage,管理,
Delete Transactions,删除交易,
"Default tax templates for sales, purchase and items are created.",为销售、采购和商品创建的默认税收模板已建立,
Invoice and Billing,发票和计费,
Invoice Cancellation,发票取消,
Delete Accounting and Stock Ledger Entries on deletion of Transaction,在删除交易时删除会计和库存分类帐条目,
Invoicing Features,发票功能,
"Enabling ensure each Purchase Invoice has a unique value in Supplier Invoice No. field",启用确保每张采购发票在供应商发票编号字段中具有唯一值,
Automatically Fetch Payment Terms from Order,自动从订单中提取付款条款,
Payment Terms from orders will be fetched into the invoices as is,订单中的付款条款将按原样提取到发票中,
Enable Common Party Accounting,启用共同方账务,
Learn about,了解有关,
Common Party,共同方的信息,
Enabling this will allow creation of multi-currency invoices against single party account in company currency,启用此选项将允许在公司货币下创建针对单一方账户的多币种发票,
Journals,日记账,
Merge Similar Account Heads,合并相似的账户头,
Rows with Same Account heads will be merged on Ledger,相同账户头的行将在总账上合并,
Tax Settings,税务设置,
Book Tax Loss on Early Payment Discount,在提前付款折扣上记录税务亏损,
Split Early Payment Discount Loss into Income and Tax Loss,将提前付款折扣损失分割为收入和税务亏损,
Round Tax Amount Row-wise,逐行对税额进行四舍五入,
Tax Amount will be rounded on a row(items) level,税额将在行（商品）级别进行四舍五入,
Show Taxes as Table in Print,在打印中以表格形式显示税收,
Payment Reconciliations,支付对账,
Auto Reconcile Payments,自动对账支付,
Credit Limit Settings,信用额度设置,
Role Allowed to Over Bill,允许超额计费的角色,
Users with this role are allowed to over bill above the allowance percentage,拥有此角色的用户被允许在津贴百分比之上进行超额计费,
Role allowed to bypass Credit Limit,允许绕过信用额度的角色,
POS Setting,POS设置,
Create Ledger Entries for Change Amount,为找零金额创建总账分录,
"If enabled, ledger entries will be posted for change amount in POS transactions",如果启用，将在POS交易中为找零金额发布总账分录,
Asset Settings,资产设置,
Period Closing Settings,期末结账设置,
Ignore Account Closing Balance,忽略账户期末余额,
"Financial reports will be generated using GL Entry doctypes (should be enabled if Period Closing Voucher is not posted for all years sequentially or missing) ",财务报告将使用总账分录文档类型生成（如果所有年度的期末凭证未按顺序发布或缺失，则应启用）,
Show Balances in Chart Of Accounts,在科目余额表中显示余额,
Enable Automatic Party Matching,启用自动方匹配,
Auto match and set the Party in Bank Transactions,自动匹配并设置银行交易中的方（Party）,
Remarks Column Length,备注栏长度,
Accounts Receivable/Payable,应收账款/应付账款,
Truncates 'Remarks' column to set character length,将“备注”栏截断以设置字符长度,
Truncates 'Remarks' column to set character length,将“备注”栏截断以设置字符长度,
Accounts Closing,账户结账,
"Allow multi-currency invoices against single party account ",允许在单一方账户下创建多币种发票,
"Role Allowed to Over Bill ",被允许超额计费的角色,
Is Short Year,短年度,
Less than 12 months.,少于12个月,
Automatically post balancing accounting entry,自动发布平衡会计分录,
Offsetting Account,抵销账户,
Invoice Portion (%),发票部分 (%),
Discount Settings,折扣设置,
Show Remarks,显示备注,
Show Net Values in Party Account,在方账户中显示净值,
Add Columns in Transaction Currency,在交易货币中添加列,
Sort Ascending,升序排序,
Sort Descending,降序排序,
Reset sorting,重置排序,
Remove column,移除列,
Is Rate Adjustment Entry (Debit Note),汇率调整分录（借方通知）,
Issue a debit note with 0 qty against an existing Sales Invoice,对现有的销售发票开具数量为0的借方通知,
Incoterm,装运术语,
Use Company default Cost Center for Round off,使用公司默认的成本中心进行四舍五入,
Is Cash or Non Trade Discount,是现金折扣还是非贸易折扣,
Contact & Address,联系人与地址,
Dispatch Address Name,发货地址名称,
Payment Amount (Company Currency),付款金额（公司货币）,
Amount Eligible for Commission,计佣金的金额,
Fetch Timesheet,提取工时表,
Get Timesheets,获取工时表,
From Opportunity,从商机获取,
Internal Customer,内部客户,
Allowed Items,允许的物品,
Party Specific Item,特定方的物品,
Restrict Items Based On,基于...限制物品,
Based On Value,基于数值,
Mention if non-standard Receivable account,如果是非标准应收账户，请提及,
Portal Users,门户用户,
Customer Portal Users,客户门户用户,
Get Customer Group Details,获取客户组详细信息,
Revaluation Journals,重新估值日记账,
In Party Currency,以方的货币,
Show GL Balance,显示总账余额,
Revaluation Journals,重新估值日记账,
Show Ledger View,显示总账视图,
Supplier Invoice,供应商发票,
Use Transaction Date Exchange Rate,使用交易日期汇率,
Accepted Qty in Stock UOM,库存计量单位中的已接受数量,
WIP Composite Asset,WIP复合资产,
Use Company Default Round Off Cost Center,使用公司默认的四舍五入成本中心,
Company Shipping Address,公司发货地址,
Company Billing Address,公司账单地址,
Additional Info,附加信息,
Proprietorship,个体经营,
Partnership,合伙制,
Internal Supplier,内部供应商,
Supplier Primary Address,供应商主地址,
Supplier Primary Contact,供应商主联系人,
Supplier Portal Users,供应商门户用户,
Show net values in opening and closing columns,在期初和期末列中显示净值,
Total Asset,总资产,
Total Liability,总负债,
Total Equity,总权益,
Show Currency Symbol on Right Side,在右侧显示货币符号,
Rounding Loss Allowance,四舍五入损失准备,
Zero Balance,零余额,
This Account has '0' balance in either Base Currency or Account Currency,此账户在基础货币或账户货币中的余额为'0',
Setting the account as a Company Account is necessary for Bank Reconciliation,将账户设置为公司账户对于银行对账是必要的,
IBAN,国际银行账号（IBAN）,
Filter by Reference Date,按参考日期筛选,
Account Opening Balance,账户期初余额,
Closing Balance as per Bank Statement,按银行对账单的期末余额,
Closing Balance as per ERP,按ERP的期末余额,
No Matching Bank Transactions Found,未找到匹配的银行交易,
Upload Bank Statement,上传银行对账单,
Auto Reconcile,自动对账,
Product Price ID,产品价格ID,
Generate Invoice At,生成发票日期,
End of the current subscription period,当前订阅周期结束,
Beginning of the current subscription period,当前订阅周期开始,
Days before the current subscription period,当前订阅周期前的天数,
Submit Generated Invoices,提交生成的发票,
Main Cost Center,主成本中心,
Cost Center Allocation Percentages,成本中心分配百分比,
Percentage (%),百分比（%）,
Considered In Paid Amount,在支付金额中考虑,
"If checked, the tax amount will be considered as already included in the Paid Amount in Payment Entry",如果选中，则税额将被视为已经包含在付款金额中的支付分录中,
Category Details,类别详细信息,
Consider Entire Party Ledger Amount,考虑整个方账户总额,
Even invoices with apply tax withholding unchecked will be considered for checking cumulative threshold breach,即使发票中未选中代扣税，也将考虑检查累积阈值违规,
Only Deduct Tax On Excess Amount ,仅在超额金额上扣税,
Tax will be withheld only for amount exceeding the cumulative threshold,仅在超过累积阈值的金额上代扣税款,
Round Off Tax Amount,四舍五入税额,
Checking this will round off the tax amount to the nearest integer,选中此选项将税额四舍五入到最近的整数,
Is Composite Asset,是复合资产,
Asset Quantity,资产数量,
Salvage Value Percentage,残值百分比,
Team,团队,
Maintenance Details,维护详细信息,
Value Details,价值详细信息,
Repair Details,维修详细信息,
Asset Capitalization,资产资本化,
Capitalization Method,资本化方法,
Consumed Stock Items,已消耗的库存商品,
Qty and Rate,数量和单价,
Batch and Serial No,批次和序列号,
Serial and Batch Bundle,序列号和批次捆绑,
Consumed Assets,已消耗的资产,
Service Expenses,服务费用,
Include Default FB Assets,包括默认的固定资产,
Asset Activity,资产活动,
Report View,报告视图,
Grouped by ,按分组,
Learn Procurement,学习采购,
Items & Pricing,商品与定价,
Items to Order and Receive,需要订购和接收的物品,
Supplier Contact,供应商联系,
Terms & Conditions,条款与条件,
Quotation Number,报价单号,
Terms Template,条款模板,
Stock Movement,库存流动,
Deferred Accounting,递延会计,
Default Discount Account,默认折扣账户,
Allow Purchase,允许购买,
Grant Commission,授予佣金,
Allow Sales,允许销售,
Minimum Net Rate,最低净价率,
Maximum Net Rate,最高净价率,
Is Recursive,是递归的,
"Discounts to be applied in sequential ranges like buy 1 get 1, buy 2 get 2, buy 3 get 3 and so on",折扣按顺序范围应用，如买1送1，买2送2，买3送3等。,
Min Qty (As Per Stock UOM),最小数量（按照库存计量单位）,
Max Qty (As Per Stock UOM),最大数量（按照库存计量单位）,
Min Amt,最低金额,
Max Amt,最高金额,
Threshold for Suggestion (In Percentage),建议的阈值（以百分比表示）,
Naming Series and Price Defaults,命名系列和价格默认值,
Transaction Settings,交易设置,
Subcontracting Settings,外包设置,
Action If Same Rate is Not Maintained,如果没有保持相同汇率的操作,
Configure the action to stop the transaction or just warn if the same rate is not maintained.,配置操作，如果没有保持相同的汇率，则停止交易或仅发出警告,
Role Allowed to Override Stop Action,允许覆盖停止操作的角色,
Blanket Order Allowance (%),总订单允许 (%),
Percentage you are allowed to order beyond the Blanket Order quantity.,您被允许超过总订单数量的百分比,
Update frequency of Project,项目更新频率,
"How often should Project be updated of Total Purchase Cost ?",项目的总购买成本应该多久更新一次？,
